ENST00000674148	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000674149	0.000000	0.000000	0.000000	0.0	0.0	0.0
ENST00000674150	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000674151	0.000000	0.000000	0.000000	0.0	0.0	0.0
ENST00000674152	0.000000	0.0	0.0	0.0	0.0	0.0
ENST00000674153	0.000000	0.000000	0.000000	0.000000	0.0	0.000000
ENST00000674154	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000674155	58.077015	0.000000	84.160507	112.221947	142.506332	77.793747
ENST00000674156	0.0	0.000000	0.0	0.0	0.0	0.0
ENST00000674157	0.0	0.0	0.0	0.0	0.0	0.0
