ENST00000674148	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000674149	0.000000	0.000000	0.000000	0.0	0.0	0.0
ENST00000674150	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000674151	0.000000	0.000000	0.000000	0.0	0.0	0.0
ENST00000674152	0.000000	0.0	0.0	0.0	0.0	0.0
ENST00000674153	0.000000	0.000000	0.000000	0.000000	0.0	0.000000
ENST00000674154	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000674155	134.476944	0.000000	189.013382	278.198608	333.211029	184.105270
ENST00000674156	0.0	0.000000	0.0	0.0	0.0	0.0
ENST00000674157	0.0	0.0	0.0	0.0	0.0	0.0
